         81348177 function calls (79901439 primitive calls) in 75.223 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1345    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
    523/2    0.003    0.000    0.374    0.187 <frozen importlib._bootstrap>:1022(_find_and_load)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
  758/392    0.002    0.000    0.203    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     1345    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
      523    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      523    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:169(__enter__)
      523    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1345    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      518    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      822    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    694/1    0.001    0.000    0.373    0.373 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     4288    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      517    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
      880    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:391(cached)
      769    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      493    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      493    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  493/488    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    493/1    0.002    0.000    0.373    0.373 <frozen importlib._bootstrap>:664(_load_unlocked)
      518    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      516    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      496    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
     2037    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     2037    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      516    0.004    0.000    0.045    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
    523/2    0.002    0.000    0.374    0.187 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      408    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      408    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
       64    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
